Facility Type,Borough,Facility Name,Cross Streets,Phone,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
Acute Care Hospital,Brooklyn,Kings County Hospital Center,,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
(40.655761808605, -73.944662615537)",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Coler Campus,,212-848-6000 ,"900 Main Street Roosevelt Island
New York, NY 10044
(40.761976486226, -73.949999674945)",10044,40.7698,-73.941218,8,5,23802,1040750,1013730050,Lenox Hill-Roosevelt Island                                                
Child Health Center,Brooklyn,Kings County Hospital Center,,718-245-3131,"451 Clarkson Avenue
Brooklyn, NY 11203
(40.655761808605, -73.944662615537)",11203,40.655762,-73.94458,9,40,808,3327711,3048290001,Prospect Lefferts Gardens-Wingate                                          
Acute Care Hospital,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748, -73.976572846645)",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Brooklyn,Jonathan Williams Houses Child Health Clinic,between Roebling Street & Division Ave.,718-387-6407,"118 Roebling Street
Brooklyn, NY 11211
(40.715367609829, -73.956165823569)",11211,40.715381,-73.956135,1,33,519,3324885,3023370027,North Side-South Side                                                      
Child Health Center,Manhattan,Grant Houses Clinic,,212-678-8420,"3170 Broadway
New York, NY 10027
(40.815255660488, -73.958430492697)",10027,40.814794,-73.958928,9,7,211,1084118,1019800001,Morningside Heights                                                        
Child Health Center,Manhattan,Dyckman Clinica De Las Americas,corner of Nagle Ave. and Dyckman St.,212-544-2001,"175 Nagle Avenue
New York, NY 10034
(40.861957938597, -73.92380763599)",10034,40.86164,-73.92459,12,10,299,1080027,1022160001,Marble Hill-Inwood                                                         
Child Health Center,Brooklyn,East New York Diagnostic & Treatment Center,,718-240-0400,"2094 Pitkin Avenue
Brooklyn, NY 11225
(40.671962495107, -73.89520529393)",11207,40.671977,-73.895248,5,42,1144,3083929,3037380015,East New York (Pennsylvania Ave)                                           
Child Health Center,Brooklyn,Brownsville Child Health Clinic,between Dumont Ave. & Blake Ave.,718-495-7283,"259 Bristol Street
Brooklyn, NY 11212
(40.664911170498, -73.911410916321)",11212,40.664827,-73.911415,16,41,924,3081765,3035590011,Brownsville                                                                
Acute Care Hospital,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.586645433957, -73.965830115778)",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Brooklyn,Williamsburg Health Center,,718-963-7820,"279 Graham Avenue
Brooklyn, NY 11211
(40.712103238036, -73.943994071543)",11211,40.712046,-73.943989,1,34,495,3069418,3027820024,East Williamsburg                                                          
Child Health Center,Staten Island,Stapleton Child Health Clinic,between Water St. & Canal St.,718-390-0712,"111 Canal Street Staten Island
NY 10304
(40.626576449488, -74.076994470087)",10304,40.626584,-74.076758,1,49,21,5013729,5005230001,Stapleton-Rosebank                                                         
Child Health Center,Staten Island,Mariner's Harbor Houses Child Health Clinic,,718-761-2060,"2040 Forest Avenue Staten Island
NY 10303
(40.62609762251, -74.157474896698)",10303,40.626017,-74.156541,1,49,30302,5110626,5016960008,Mariner's Harbor-Arlington-Port Ivory-Graniteville                         
Child Health Center,Manhattan,Judson Health Center,,212-925-5000,"34 Spring Street
New York, NY 10012
(40.721735692317, -73.995719412648)",10012,40.721721,-73.995732,2,1,41,1007180,1004800021,SoHo-TriBeCa-Civic Center-Little Italy                                     
Child Health Center,Manhattan,Metropolitan Hospital Center,,212-423-6262,"1901 First Avenue
New York, NY 10029
(40.784557024105, -73.943795653643)",10029,40.784557,-73.94378,11,8,15602,1083929,1016690001,East Harlem South                                                          
Child Health Center,Bronx,Gunhill Health Center,between Paulding Ave. & Hone Ave.,718-918-8850,"1012 Gunhill Road
Bronx, NY 10469
(40.874626006887, -73.857887416826)",10469,40.874636,-73.85784,12,12,370,2057204,2046370036,Williamsbridge-Olinville                                                   
Child Health Center,Brooklyn,Greenpoint Community Health Center,,718-630-3220,"875 Manhattan Avenue
Brooklyn, NY 11222
(40.729665609686, -73.954045460054)",11222,40.729708,-73.954055,1,33,565,3064836,3025630048,Greenpoint                                                                 
Acute Care Hospital,Queens,Queens Hospital Center,,718-883-3000,"82 70 164th Street
Jamaica, NY 11432
(40.71311535449, -73.792820999789)",11432,40.717209,-73.803419,8,24,1267,4442433,4068580001,Pomonok-Flushing Heights-Hillcrest                                         
Diagnostic & Treatment Center,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Child Health Center,Manhattan,Gouverneur Diagnostic & Treatment Center,,212-238-7200,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Nursing Home,Manhattan,Gouverneur Healthcare Services,,212-238-7000,"227 Madison Street
New York, NY 10002
(40.712841397448, -73.987598534724)",10002,40.712784,-73.988417,3,1,6,1003224,1002700032,Lower East Side                                                            
Child Health Center,Brooklyn,Fort Greene Child Health Clinic,between DeKalb Ave. & Willoughby Ave.,718-260-7500 ext. 7859,"295 Flatbush Avenue Extension
Brooklyn, NY 11201
(40.692053402323, -73.982413019989)",11201,40.691986,-73.982496,2,35,15,3058406,3020790021,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           
Nursing Home,Manhattan,Coler-Goldwater Specialty Hospital and Nursing Facility/Goldwater Campus,,212-318-8000,"1 Main St Roosevelt Island
New York, NY 10044
(40.761976486226, -73.949999674945)",10044,40.756368,-73.956054,8,5,23801,1085548,1013730020,Lenox Hill-Roosevelt Island                                                
Child Health Center,Brooklyn,Sutter Avenue Child Health Clinic,between Montauk Ave. & Atkins Ave.,718-647-0800,"1091 Sutter Avenue
Brooklyn, NY 11208
(40.67189903622, -73.878318817943)",11208,40.671892,-73.878197,5,42,1194,3089620,3040390001,East New York                                                              
Child Health Center,Manhattan,Drew Hamilton Houses Health Center,between W. 143rd St. & W. 144th St.,212-939-8950,"2698 Eighth Avenue
New York, NY 10030
(40.822139979421, -73.942389748859)",10030,40.821706,-73.94273,10,9,232,1060431,1020290001,Central Harlem North-Polo Grounds                                          
Child Health Center,Queens,Woodside Houses Child Health Clinic,between Northern Blvd. & 50th St.,718-334-6140,"50 53 Newtown Road
Woodside, NY 11377
(40.745193764481, -73.90484714408)",11377,40.753164,-73.910752,1,26,163,4430994,4007360002,Astoria                                                                    
Acute Care Hospital,Manhattan,Harlem Hospital Center,,212-939-1000,"506 Lenox Avenue
New York, NY 10037
(40.814275217502, -73.940602831291)",10037,40.814358,-73.940659,10,9,212,1053899,1017330001,Central Harlem North-Polo Grounds                                          
Child Health Center,Brooklyn,Coney Island Hospital,,718-616-3000,"2601 Ocean Parkway
Brooklyn, NY 11235
(40.586645433957, -73.965830115778)",11235,40.586552,-73.966168,13,48,370,3337274,3072390001,Brighton Beach                                                             
Child Health Center,Bronx,Health Center at Tremont,corner of 175th St.,718-918-8700,"1826 Arthur Avenue
Bronx, NY 10457
(40.844000208275, -73.894548724404)",10457,40.844083,-73.894482,6,17,36901,2009891,2029450018,East Tremont                                                               
Child Health Center,Bronx,North Central Bronx Hospital,,718-519-5000,"3424 Kossuth Avenue
Bronx, NY 10467
(40.880463372456, -73.881592877502)",10467,40.880462,-73.88164,7,11,421,2017787,2033270200,Norwood                                                                    
Child Health Center,Brooklyn,Crown Heights Child Health Clinic,,718-735-0561,"1218 Prospect Place
Brooklyn, NY 11213
(40.673492222873, -73.935701697386)",11213,40.67353,-73.935845,8,36,345,3036147,3013650009,Crown Heights North                                                        
Child Health Center,Manhattan,Baruch Houses Family Health Center,corner of Columbia St.,212-673-5990,"280 Delancey Street
New York, NY 10002
(40.716367017869, -73.980135660503)",10002,40.716079,-73.980373,3,2,1002,1078039,1003230001,Lower East Side                                                            
Child Health Center,Brooklyn,Sumner Avenue Houses Child Health Clinic,between Myrtle Ave. & Park Ave.,718-455-3884,"47 Marcus Garvey Boulevard
Brooklyn, NY 11206
(40.697855287659, -73.941006610822)",11206,40.697945,-73.941018,3,36,28502,3324728,3015800001,Stuyvesant Heights                                                         
Acute Care Hospital,Brooklyn,Woodhull Medical and Mental Health Center,,718-963-8000,"760 Broadway
Brooklyn, NY 11206
(40.70052661478, -73.941643858765)",11206,40.700528,-73.941604,3,36,28501,3048341,3017230001,Bushwick South                                                             
Child Health Center,Brooklyn,Bushwick Community Health Center,,718-919-1200,"1420 Bushwick Avenue
Brooklyn, NY 11207
(40.684303566262, -73.909082385178)",11207,40.684318,-73.909056,4,37,403,3080067,3034440022,Bushwick South                                                             
Child Health Center,Manhattan,Bellevue Hospital Center,,212-562-4141,"462 First Avenue
New York, NY 10016
(40.73962320748, -73.976572846645)",10016,40.739173,-73.976862,6,4,62,1086515,1009620100,Murray Hill-Kips Bay                                                       
Child Health Center,Queens,Ridgewood Communicare Clinic,between Woodbine St. & Madison St.,718-334-6190,"769 Onderdonk Avenue
Ridgewood, NY 11385
(40.702949636008, -73.90543308997)",11385,40.702972,-73.905489,5,34,549,4083018,4034700054,Ridgewood                                                                  
Child Health Center,Manhattan,Smith Communicare Health Center,corner of Catherine St.,212-346-0500,"60 Madison Street
New York, NY 10038
(40.711969729879, -73.997542215578)",10038,40.712019,-73.997309,3,1,25,1077421,1001110100,Chinatown                                                                  
Child Health Center,Bronx,Morrisania Diagnostic & Treatment Center,,718-960-2777,"1225 Gerard Avenue
Bronx, NY 10452
(40.835906387949, -73.920034037019)",10452,40.835957,-73.919986,4,16,197,2003015,2024890060,West Concourse                                                             
