"Borough, Block, Lot #",Street Address,Postcode,Borough,Utility,Building Manager,Owner,Owner Address,Owner Telephone,DEP Boiler Application #,#6 Deadline,Boiler Model,# of Identical Boilers,Boiler Capacity (Gross  BTU),Boiler Installation Date,Boiler Age Range,Est. Retirement Year,Burner Model,Primary Fuel,Total Gallons (High),Total Gallons (Low),Total MMBTU (High),Total MMBTU (low),Greener Greater Buildings,GGB Deadline,Building Type,Council District,Community Board,Bldg Sqft,# of Bldgs,# of Floors,# of Res. Units,Total Units,Year Built,Condo?,Coop?,Latitude,Longitude,Census Tract,BIN,BBL,NTA
2025150009,1192 NELSON AVENUE,10452,Bronx,Con Edison,DITZA REALTY CORP,DITZA RLTY/J.BODAK,"2388 VALENTINE AVENUE, BRONX NY 10458",718-364-1800,CA084084Y,0,ROCKMILLS MP125,1,5,1984,26 to 30 years old,2019,ICI DEG54P,#4,59860,41902,6300,9000,1,2015,Walk-Up Apartments,16,Bx 04,"* 70,000",1,6,74,74,1928,,,40.837413,-73.925554,199,2003284,2025150009,Highbridge
2027030053,945 EAST 163 STREET,10459,Bronx,Con Edison,945 E 163RD STREET LLC,E. 163rd ST. REALTY LLC.,"4419 3RD AVE 4A, BRONX NY 10457",718 228-0020,CA380688L,0,FEDERAL FST 100,1,4.1,1988,21 to 26 years old,2023,ICI ME42P,#4,22305,15614,2233,3190,1,2013,Elevator Apartments,17,Bx 02,"* 61,872",1,6,45,50,1910,,,40.821004,-73.896209,87,2005463,2027030053,Longwood
2028070070,2015 CRESTON AVENUE,10453,Bronx,Con Edison,"LEIST,FRED","LEIST, FRED","3857 KINGS HIGHWAY, BROOKLYN NY 11234",718-258-0373,CA528585R,2013,PACIFIC 8671,1,12.18,1985,21 to 26 years old,2020,I.C.I DEG 84P,#6,21079,14756,2213.35,3161.93,1,2017,Elevator Apartments,14,Bx 05,"* 68,000",1,6,67,67,1939,,,40.852033,-73.905487,241,2007671,2028070070,Mount Hope
1008670055,22 EAST 38 STREET,10016,Manhattan,Con Edison,MIGDAL MADISON NV INC.,JOLLY MADISON TOWERS HOTEL,"22 EAST 38TH STREET, MANHATTAN NY 10016",212-802-0600,CA270288P,0,ROCKMILLS MP250,1,10,1988,21 to 26 years old,2023,ST JOHNSON FD 68 CAHM - 300,#4,131400,91980,11340,16200,1,2017,Hotels,3,M 06,"* 137,120",1,17,0,2,1930,,,40.750177,-73.980897,82,1017220,1008670055,Murray Hill-Kips Bay
2028140082,1963 RYER AVENUE,10457,Bronx,Con Edison,RYER EQUITIES COORP,1963 RYER REALYTY CORP.,"3200 CRUGER AVE #201, BRONX NY 10467",718-519-1300,CA236187R,0,FEDERAL FST 90,1,3.78,1987,21 to 26 years old,2022,ICI DEG 42 P,#4,24728,17310,2625,3750,0,,Elevator Apartments,14,Bx 05,"* 44,000",1,6,48,48,1939,,,40.850081,-73.901596,381,2007786,2028140082,Mount Hope
2031470010,2396 VALENTINE AVENUE,10458,Bronx,Con Edison,79-01 LLC,79-01 LLC,"1 WEST RED OAK LANE, WHITE PLAINS NY 10604",212-661-8570,CA160586X,0,FEDERAL FST 50,1,2,1986,21 to 26 years old,2021,ICI MMG22,#4,42340,29638,1827,2610,0,,Walk-Up Apartments,15,Bx 05,"* 19,750",1,5,26,26,1915,,,40.859343,-73.897107,39902,2013453,2031470010,Bedford Park-Fordham North
2031640041,156 EAST 184 STREET,10468,Bronx,Con Edison,156 E. 184 ST. HOLDING LLC.,156 E. 184 ST. HOLDING LLC,"P.O.B. 61, BROOKLYN NY 11204",XXX,CA330986Y,0,FEDERAL FST 90,1,3.7,1986,21 to 26 years old,2021,I.C.I MMG 42,#4,34748,24324,3552.5,5075,0,,Walk-Up Apartments,14,Bx 05,"* 41,650",1,6,49,49,1920,,,40.859521,-73.899489,23703,2013784,2031640041,Fordham South
1008670055,22 EAST 38 STREET,10016,Manhattan,Con Edison,JOLLY MADISON TOWERS,JOLLY HOTEL MADISON TOWERS,"22 EAST 38 STREET, MANHATTAN NY 10016",212-802-0600,CA205484L,0,FEDERAL FST 175,1,10.5,1984,26 to 30 years old,2019,ST JOHNSON FD 68 CAHM-200,#4,96110,67277,9642.5,13775,1,2017,Hotels,3,M 06,"* 137,120",1,17,0,2,1930,,,40.750177,-73.980897,82,1017220,1008670055,Murray Hill-Kips Bay
2031840071,2395 MORRIS AVENUE,10468,Bronx,Con Edison,2395 HOLDING LTD.,2395 HOLDING LTD.,"P.O. BOX 16, FAR ROCKAWAY NY 11691",718 327-3685,CA307986Z,0,FEDERAL FST 70,1,2.5,1986,21 to 26 years old,2021,ICI MMG 30,#4,32120,22484,3248,4640,0,,Walk-Up Apartments,14,Bx 05,"* 45,952",1,5,49,49,1922,,,40.860521,-73.900522,239,2014040,2031840071,Fordham South
2033050010,2850 GRAND CONCOURSE,10458,Bronx,Con Edison,PABLO ENAMORADO,ZEISEN REALTY LLC,"126 W. FORDHAM ROAD, BRONX NY 10468",XXX,CA388885R,0,ROCKMILLS MP-50,1,2,1985,21 to 26 years old,2020,I.C.I. MMG-22,#4,18104,12673,1827,2610,0,,Walk-Up Apartments,15,Bx 07,"* 31,535",1,5,21,21,1915,,,40.870247,-73.890817,40702,2017168,2033050010,Bedford Park-Fordham North
2033240045,3424 GATES PLACE,10467,Bronx,Con Edison,PAT-MAR MANAGEMENT CO.,PAT-MAR MANAGEMENT CO.,"3424 GATES PLACE, BRONX NY 10467",718-519-8473,CA345983K,0,ROCKMILLS MP 90,1,3.6,1983,26 to 30 years old,2018,ICI DE 42P,#4,41884,29319,2625,3750,0,,Elevator Apartments,11,Bx 07,"* 42,640",1,6,48,48,1928,,,40.882603,-73.883955,421,2017683,2033240045,Norwood
1008770042,39 GRAMERCY PARK NORTH,10010,Manhattan,Con Edison,39 TENANTS CORP.,39TENANTS/KREISEL CO.,"675 3 AVENUE, MANHATTAN NY 10017",212-777-1809,CA451069H,2014,PACIFIC #52 L2,2,5.32,1969,41 - 45 years old,2010,S.T.JOHNSON 150 1/2,#6,108715,76101,10647,15210,1,2017,Elevator Apartments,2,M 06,"* 99,238",1,17,92,95,1956,,Yes,40.737876,-73.984841,68,1017997,1008770042,Gramercy
1000160080,333 RECTOR PLACE,10280,Manhattan,Con Edison,ROCKROSE DEVELOPMENT CORP.COR,333 RECTOR REALTY LLC. COOPER SQUARE,"6 EAST 43RD ST., MANHATTAN NY 10017",212 34-5437,CA182185M,2014,CLEAVER-BROOKS MOD. CB-600-200,2,8.4,1985,21 to 26 years old,2020,INTEGRAL,#6,48000,33600,4200,6000,1,2016,Elevator Apartments,1,M 01,"* 219,703",1,15,227,232,1985,,,40.709448,-74.017252,31704,1000055,1000167518,Battery Park City-Lower Manhattan
1000167509,21 SOUTH END AVENUE,10280,Manhattan,Con Edison,21 SOUTHEND OWNERS CORP.,THE REGATTA CONDOMINIUM/LISA MASULLO,"21 SOUTH END AVE, MANHATTAN NY 10280",212 842-7310,CA052589N,0,FEDERAL FST 200,2,8.4,1989,21 to 26 years old,2024,S.T.JOHNSON FD68CAHM-200,#4,150877,105614,15225,21750,1,2016,Condominiums,1,M 01,"* 194,762",1,9,182,184,1988,Yes,,40.708114,-74.01763,31704,1075698,1000167509,Battery Park City-Lower Manhattan
1000167515,225 RECTOR PLACE,10280,Manhattan,Con Edison,RELATED MANAGEMENT,RELATED MGMT/CO. LP,"203 EAST 86TH STREET, MANHATTAN NY 10028",212-996-6670,CA442886N,2014,FEDERAL PLW-265,2,11.2,1986,21 to 26 years old,2021,ST. JOHNSON FD 68CAHM-300,#6,124976,87483,13125,18750,1,2016,Condominiums,1,M 01,"* 251,289",1,23,304,306,1985,Yes,,40.70927,-74.016487,31704,1000053,1000167515,Battery Park City-Lower Manhattan
1000220013,26 BROADWAY,10004,Manhattan,Con Edison,CONSTITUTION REALTY ASSOCIATES,NEWMARK & CO.REAL ESTATE INC.,"125 PARK AVENUE, NEW YORK NY 10017",718 763-6100,CA003181Z,0,ROCKMILLS MP 600,2,25.2,1981,26 to 30 years old,2016,ICI DEG-252(P),#4,234062,163844,31711.68,45302.4,1,2022,Office Buildings,1,M 01,"* 860,889",1,32,0,117,1923,,,40.70568,-74.013302,9,1000811,1000220013,Battery Park City-Lower Manhattan
1000220013,26 BROADWAY,10004,Manhattan,Con Edison,CONSTITUTION REALTY,CONSTITUTION REALTY,"26 BROADWAY, MANHATTAN NY 10004",212 344-2150,CA109275P,0,ROCKMILLS MP 900,1,37.5,1975,31 to 35 years old,2010,SUPERIOR AB 600,#4,586920,410844,61626.6,88038,1,2022,Office Buildings,1,M 01,"* 860,889",1,32,0,117,1923,,,40.70568,-74.013302,9,1000811,1000220013,Battery Park City-Lower Manhattan
1000280001,3 HANOVER SQUARE,10004,Manhattan,Con Edison,3 HANOVER SQ OWNERS CORP.,3 HANOVER SQUARE OWNERS c/o ROSE ASSOCS.,"200 MADISON AVE 5th fl., MANHATTAN NY 10016",212 328-5539,CA164187R,0,FEDERAL FST 300,2,12.6,1987,21 to 26 years old,2022,ICI DEG 145 P,#4,202027,141419,20695.5,29565,1,2018,Elevator Apartments,1,M 01,"* 239,121",1,23,202,209,1926,,Yes,40.704808,-74.009623,7,1000831,1000280001,Battery Park City-Lower Manhattan
1000300005,46 WATER STREET,10004,Manhattan,Con Edison,EDWORD GORDON CO INC,CB RICHARD ELLIS,"200 PARK AVENUE -16 FLOOR, MANHATTAN NY 10166",212-984-8373,CA004487X,0,TITUSVILLE 5475 SERIES W,1,4.46,1987,21 to 26 years old,2022,HEVE/AM 3/4,#4,67343,47140,6783.525,9690.75,1,2020,Loft Buildings,1,M 01,"* 85,472",1,11,0,3,1929,,,40.703504,-74.009972,9,1000854,1000300005,Battery Park City-Lower Manhattan
1000520021,120 LIBERTY STREET,10006,Manhattan,Con Edison,SAMSON,SAMSON MGMT. LLC,"97-77 QUEENS BLVD, REGO PARK NY 11374",XXXX,CA011497P,0,FEDERAL FST-125 (NEW),1,5.3,1997,11 to 15 years old,2032,INDUSTRIAL COMB. MM-54S(EXIST),#4,57487,40241,5834.9813,8335.69,1,2022,Elevator Apartments,1,M 01,"* 57,945",1,13,21,24,1900,,Yes,40.71002,-74.012408,13,1001040,1000520021,Battery Park City-Lower Manhattan
1000640015,160 BROADWAY,10038,Manhattan,Con Edison,DAROR ASSOC.,"DAROR ASSOC. LLC CO.,% BRUN MGMT.","160 BROADWAY, MANHATTAN NY 10038",212-349-2154,CB000311K,0,ROCKMILLS MP175,1,7.3,1980,26 to 30 years old,2015,IRON FIREMAN A0-6-9.8RK,#4,341640,239148,15943.2,22776,1,2014,Office Buildings,1,M 01,"* 150,000",4,16,0,77,1908,,,40.709493,-74.01024,1502,1079040,1000640015,Battery Park City-Lower Manhattan
1000640016,170 BROADWAY,10038,Manhattan,Con Edison,AMG REALTY PARTNERS LLP,170 BROADWAY OWNERS CORP c/o CB RICHARD ELLIS,"170 BROADWAY, MANHATTAN NY 10037",XXX,CA063777Y,2014,ROCKMILLS MP-200,1,9,1977,31 to 35 years old,2012,HEV-E-OIL DE-105(S) ( I.C.I.),#6,91250,63875,9581.25,13687.5,1,2014,Office Buildings,1,M 01,"* 147,844",1,18,0,81,1903,,,40.709669,-74.010092,1502,1001088,1000647502,Battery Park City-Lower Manhattan
1000880005,20 VESEY STREET,10007,Manhattan,Con Edison,"CASTEGA -20 VESEY STREET, LLC.","CASTEGA -20 VESEY STREET, LLC.","20 VESEY STREET, MANHATTAN NY 10007",212-732-7663,CA233189R,0,ROCKMILLS MP125,1,5.3,1989,21 to 26 years old,2024,ICI MM54P,#4,41063,28744,4161.5,5945,1,2018,Office Buildings,1,M 01,"* 80,298",1,13,0,35,1907,,,40.711843,-74.009562,21,1001235,1000880005,SoHo-TriBeCa-Civic Center-Little Italy
1000880018,225 BROADWAY,10007,Manhattan,Con Edison,225 BROADWAY CO. % BRAUN MGMT.,225 BROADWAY CO. % BRAUN MGMT.,"160 BROADWAY, NEW YORK NY 10038",212 349-2154,CB590103K,2014,ROCKMILLS MP-500 (EXSTG),1,16.7,2003,5 to 10 years old,2038,ICI DEG-210P (NEW),#6,82405,57683,8652.84,12361.2,1,2018,Office Buildings,1,M 01,"* 480,831",1,44,0,146,1927,,,40.71187,-74.008217,21,1001241,1000880018,SoHo-TriBeCa-Civic Center-Little Italy
1000880018,225 BROADWAY,10007,Manhattan,Con Edison,BRAUN MANAGMENT CO.,"225 BROADWAY CO., % BRAUN MANAGEMENT CO.","160 BROAWAY, MANHATTAN NY 10038",212-349-2154,CB005811R,2015,ROCKMILLS MP 450,1,17.6,1970,36 - 40 year old,2010,IRON FIREMAN AO6.22.5,#6,206955,144869,6300,9000,1,2018,Office Buildings,1,M 01,"* 480,831",1,44,0,146,1927,,,40.71187,-74.008217,21,1001241,1000880018,SoHo-TriBeCa-Civic Center-Little Italy
1003530047,98 NORFOLK STREET,10002,Manhattan,Con Edison,EASTSIDE REST CORP,EASTSIDE REST CORP.,"138 DELANCEY STREET, MANHATTAN NY 10002",212-677-5588,CA240957X,0,SPENCER LW85,1,3.5,1957,Over 50 years,2010,HEV-E-OIL AM5CH,#4,63875,44713,3704.75,5292.5,0,,Store Buildings,1,M 03,"* 7,000",1,2,0,1,1900,,,40.718729,-73.987168,1402,,,Lower East Side
1000900014,5 BEEKMAN STREET,10038,Manhattan,Con Edison,LARSAN HOLDING CORP.,LARSAN HOLDING CORP.,"1220 BROADWAY, MANHATTAN NY 10001",212-564-3194 EXT.114,CA062998N,2014,(EXIST)FEDERAL FST-200,1,7.7,1998,11 to 15 years old,2033,(NEW)IRON FIREMAN EED-GO-6 8.5,#6,58400,40880,6132,8760,1,2020,Office Buildings,1,M 01,"* 128,220",3,10,0,77,1900,,,40.711393,-74.006666,1501,1079072,1000907503,Battery Park City-Lower Manhattan
1000907501,15 PARK ROW,10038,Manhattan,Con Edison,UNITED ENTERPRISES LTD.,PARK ROW REALTY,"80 BROAD ST 29th STREET, MANHATTAN NY 10004",XXX,CA110192H,2013,FEDERAL FST-600,1,24.22,1992,16 to 20 years old,2027,ICI DEG-252 (P),#6,75687,52981,7947.1875,11353.13,1,2020,Condominiums,1,M 01,"* 336,447",1,29,2,5,1896,Yes,,40.711508,-74.007679,1501,1001249,1000907501,Battery Park City-Lower Manhattan
1000907501,15 PARK ROW,10038,Manhattan,Con Edison,PARK ROW REALTY,PARK ROW REALTY,"80 BROAD STREET,29th FL., MANHATTAN NY 10004",XXX,CA082684Z,2014,FEDERAL FST-600,1,21,1984,26 to 30 years old,2019,JOHNSON RD 68 CAHM-500,#6,81000,56700,8505,12150,1,2020,Condominiums,1,M 01,"* 336,447",1,29,2,5,1896,Yes,,40.711508,-74.007679,1501,1001249,1000907501,Battery Park City-Lower Manhattan
1000920030,132 NASSAU STREET,10038,Manhattan,Con Edison,J.W. REALTY CO.,J.W. REALTY CO.LLC,"15 MAIDEN LANE, MANHATTAN NY 10038",212-964-3180,CA533385Z,0,PACIFIC 47L2,2,5.02,1985,21 to 26 years old,2020,INDUSTRIAL COMBUSTION MMG-34(P),#4,37559,26291,3812.2385,5446.06,1,2022,Office Buildings,1,M 01,"* 96,412",2,14,0,61,1925,,,40.711072,-74.006684,1501,1079101,1000920030,Battery Park City-Lower Manhattan
1001260013,53 PARK PLACE,10007,Manhattan,Con Edison,53 PARK PLACE REALTY CO.,ROSA ASSOC./HECTOR JUAREZ,"200 MADISON AVE, MANHATTAN NY 10016",212 227-5233,CA345683Z,2014,FEDERAL #FST-175,1,7.3,1983,26 to 30 years old,2018,INDUST COMBUS #DEG-84-P,#6,70263,49184,4935,7050,1,2016,Elevator Apartments,1,M 01,"* 138,600",1,12,115,116,1921,,,40.713764,-74.010356,21,1001412,1001260013,SoHo-TriBeCa-Civic Center-Little Italy
1001340025,258 BROADWAY,10007,Manhattan,Con Edison,CITY HALL TOWER CORP.,MATTH. ADAM PROP.,"127 E.59TH STREET 3RD FL., MANHATTAN NY 10022",212-699-8900,CA249383R,2013,FEDERAL FST 150,1,6.3,1983,26 to 30 years old,2018,I.C.I.DEG-84 P,#6,142569,99798,14659.37,20941.95,1,2014,Elevator Apartments,1,M 01,"* 88,320",1,8,45,46,1915,,Yes,40.713764,-74.006648,31,1077426,1001340025,SoHo-TriBeCa-Civic Center-Little Italy
1001440001,16 HUDSON STREET,10013,Manhattan,Con Edison,ONE HUDSON PARK INC,1 HUDSON PK INC/ANDREW BL. CORP.,"666 BROADWAY, MANHATTAN NY 10012",212-529-5688,CA028979Z,0,ROCKMILLS MP-4-162,1,6.4,1979,31 to 35 years old,2014,ICI DE-84-P,#4,75555,52889,7933.275,11333.25,1,2014,Elevator Apartments,1,M 01,"* 78,306",3,6,25,33,1915,,Yes,40.716536,-74.009152,33,1077399,1001440001,SoHo-TriBeCa-Civic Center-Little Italy
1001450012,125 CHAMBERS STREET,10007,Manhattan,Con Edison,ENF. 11/20/92,HOLD BOUNCED CHECK,"999999999999 XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX, XXXXXXXXXXXXXXX XX 99999",212-243-7700,CA475970R,0,ROCKMILLS MP-60,1,2.5,1970,36 - 40 year old,2010,HEV-E-OIL AM 4 12 DH,#4,26280,18396,2667.42,3810.6,0,,Hotels,1,M 01,"* 39,075",1,7,0,6,1920,,,40.715309,-74.008755,21,1001584,1001450012,SoHo-TriBeCa-Civic Center-Little Italy
1001477508,200 CHURCH STREET,10013,Manhattan,Con Edison,200 CHURCH ST ASSOCIATES,200 CHURCH ST ASSOCIATES,"1407 BROADWAY; SUITE 920, MANHATTAN NY 10018",212 354 3600,CA367688P,2013,FEDERAL FST 70SP,1,2.94,1988,21 to 26 years old,2023,ICI MEG34P,#6,24638,17246,2586.9375,3695.63,0,,Condominiums,1,M 01,"* 47,441",1,7,20,21,1915,,,40.716243,-74.006915,33,1001619,1001477508,SoHo-TriBeCa-Civic Center-Little Italy
1001477509,137 DUANE STREET,10013,Manhattan,Con Edison,STELLAR MGMT INC,R.A. COHEN & ASSOCIATES SIUTE1250,"60 EAST 42ND STREET , MANHATTAN NY 10165",212 972-5900,CA258691N,0,FEDERAL FST-100,1,4.1,1991,16 to 20 years old,2026,HEVE MMG 42 P,#4,20250,14175,2055.375,2936.25,1,2017,Condominiums,1,M 01,"* 74,927",1,5,19,24,1915,Yes,,40.716281,-74.007691,33,1001607,1001477509,SoHo-TriBeCa-Civic Center-Little Italy
1001490033,277 BROADWAY,10007,Manhattan,Con Edison,CHAMBERS COMPANY LLC.,CHAMBERS COMPANY LLC.,"277 BROADWAY, MANHATTAN NY 10007",212 233-5688,CA172980M,0,FEDERAL FST 150,1,5.8,1980,26 to 30 years old,2015,HEVEOIL DEG 63,#4,41500,29050,4212.25,6017.5,1,2019,Office Buildings,1,M 01,"* 93,615",1,18,0,40,1900,,,40.714349,-74.006172,21,1001635,1001490033,SoHo-TriBeCa-Civic Center-Little Italy
1001500031,299 BROADWAY,10007,Manhattan,Con Edison,OLDMSTEAD PROPERTIES,OLMSTEAD PROPERTIES,"299 BROADWAY, MANHATTAN NY 10007",212-233-2662,CA224486Z,0,ROCKMILLS MP350,1,14.7,1986,21 to 26 years old,2021,ICI DEG 145P,#4,108576,76003,11165,15950,1,2020,Office Buildings,1,M 01,"* 253,033",1,18,0,97,1910,,,40.715046,-74.005591,33,1001648,1001500031,SoHo-TriBeCa-Civic Center-Little Italy
1001580009,20 CARDINAL HAYES PLACE,10007,Manhattan,Con Edison,ST. ANDREW CHURCH,ST. ANDREWS CHURCH,"20 CARDINAL HAYES PLACE, MANHATTAN NY 10007",212-962-3972,CA120577H,0,H.B.SMITH 44,2,10,1977,31 to 35 years old,2012,HEVE AM4DH ( I.C.I. ),#4,44676,31273,1015,1450,0,,"Churches, Synagogues, etc.",1,M 01,"* 13,500",1,4,0,1,1937,,,40.713281,-74.002117,29,1001676,1001580009,Chinatown
1001710001,350 BROADWAY,10013,Manhattan,Con Edison,JEFFREY MANAGEMENT,EXTELL DEVELOPMENT COMPANY,"805 THIRD AVE 7TH FL., MANHATTAN NY 10022",,CA213972K,2012,TITUSVILLE UNKNOWN,1,10.5,1972,36 - 40 year old,2010,PETRO WD 8 AH,#6,205312,143719,21557.8125,30796.88,1,2021,Office Buildings,1,M 01,"* 141,311",1,12,0,68,1920,,,40.716954,-74.003943,31,1001838,1001717503,SoHo-TriBeCa-Civic Center-Little Italy
1001720001,366 BROADWAY,10013,Manhattan,Con Edison,ANDREWS BUILDING CORP.,ANDREWS BUILDING CORP.,"382 LAFAYETTE STREET, MANHATTAN NY 10003",XXX,CA131697X,0,FEDERAL FST-125,1,5.25,1997,11 to 15 years old,2032,ICI MMG-54 P,#4,41063,28744,4167.8945,5954.14,1,2022,Elevator Apartments,1,M 01,"* 93,378",1,12,39,40,1920,,Yes,40.717591,-74.003402,31,1001862,1001720001,SoHo-TriBeCa-Civic Center-Little Italy
1001730033,93 WORTH STREET,10013,Manhattan,Con Edison,"SNOW PLOW, LLC",SIERRA REALTY,"12 E.46TH ST. 6th fl., NY NY 10017",XX,CA217667M,2012,TITUSVILLE HRT,2,7,1967,41 - 45 years old,2010,ENTERPRISE #H2P,#6,127750,89425,4725,6750,1,2013,Office Buildings,1,M 01,"* 166,215",1,13,0,30,1924,,,40.716407,-74.004783,33,1001883,1001737504,SoHo-TriBeCa-Civic Center-Little Italy
1001790056,100 HUDSON STREET,10013,Manhattan,Con Edison,100 HUDSON CO%ANDREWS BLG.,100 HUDSON CO%ANDREWS BLG,"100 HUDSON ST., MANHATTAN NY 10012",212 529-5688,CA022492J,0,FEDERAL FST-100 (EXG),1,4.2,1992,16 to 20 years old,2027,ICI MMG-42 (P) (NEW),#4,31755,22229,3223.1325,4604.48,1,2019,Elevator Apartments,1,M 01,"* 73,954",1,10,47,49,1919,,Yes,40.71919,-74.008705,33,1002012,1001790056,SoHo-TriBeCa-Civic Center-Little Italy
1001790066,139 FRANKLIN STREET,10013,Manhattan,Con Edison,139 141 FRANKIN ST RTY.,SOFIA BROTHERS INC.,"475 AMSTERDAM AVENUE, MANHATTAN NY 10024",212-873-3600,CA187482L,0,ROCKMILLS MP 80,1,3.1,1982,26 to 30 years old,2017,ICI MM 34,#4,16500,11550,1674.75,2392.5,1,2019,Loft Buildings,1,M 01,"* 56,384",1,10,0,11,1915,,,40.719177,-74.007547,33,1002017,1001790066,SoHo-TriBeCa-Civic Center-Little Italy
