Program Type,Program,Name,Borough/Community,Agency,Contact Number,Grade Level / Age Group,Location 1,Postcode,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
After-School Programs,Out of School Time,P.S. 41 NEW DORP SCHOOL,Staten Island,"Police Athletic League, Inc.",(718) 720-8592,Elementary,"216 Clawson Street10306
(40.574024158046, -74.10928336025)",10306,40.574044,-74.109282,2,50,122,5052791,5036450007,New Dorp-Midland Beach                                                     
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3300 Coney Island Avenue11235
(40.575793969704, -73.959507450797)",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
After-School Programs,Out of School Time,Shorefront YM-YWHA,Brooklyn,Shorefront YM-YWHA,(718) 646-1444,High School,"3300 Coney Island Avenue11235
(40.575793969704, -73.959507450797)",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront YM-YWHA                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),718-646-1444,All Ages,"3300 Coney Island Av11235
(40.575793969704, -73.959507450797)",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
"Family Support,NDA Programs",Healthy Families,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",Brooklyn,Ridgewood Bushwick Youth Center,(718) 646-1444,,"3300 Coney Island Avenue11235
(40.575793969704, -73.959507450797)",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Shorefront Y                                                                                                                                                                                                                                                   ,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,Adults,"3300 Coney Island Av11235
(40.575793969704, -73.959507450797)",11235,40.575607,-73.959463,13,48,36002,3326880,3086930001,Brighton Beach                                                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,Oceanview Jewish Center,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"3100 Brighton 4th Street11235
(40.576645783547, -73.963209632669)",11235,40.576651,-73.963189,13,48,36001,3245076,3086860067,Brighton Beach                                                             
"Family Support,NDA Programs", Housing,Astella Development Corporation,Brooklyn,Baisley Park Houses,(718) 266-4653,Adults,"1618 Mermaid Avenue11224
(40.576694402272, -73.983921080156)",11224,40.576703,-73.984006,13,47,326,3189584,3070620005,Seagate-Coney Island                                                       
After-School Programs,Beacon,IS 2,Staten Island,United Activities Unlimited,718.987.0351,6 and up,"333 Midland Avenue10306
(40.576711686657, -74.100626797145)",10306,40.576725,-74.100726,2,50,11202,5053571,5036960100,New Dorp-Midland Beach                                                     
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 188 MICHAEL E. BERDY SCHO,Brooklyn,YWCA of the City of New York (Main Branch),(347) 835-0952,OST,"3314 Neptune Avenue11224
(40.57720405091, -74.000122927902)",11224,40.577217,-74.000194,13,47,328,3188726,3070060001,Seagate-Coney Island                                                       
After-School Programs,Out of School Time,P.S. 188 MICHAEL E. BERDY SCHOOL,Brooklyn,YWCA of the City of New York (Main Branch),(347) 835-0952,Elementary,"3314 Neptune Avenue11224
(40.57720405091, -74.000122927902)",11224,40.577217,-74.000194,13,47,328,3188726,3070060001,Seagate-Coney Island                                                       
"Family Support,NDA Programs", Housing,Shorefront Jewish Community Council,Brooklyn,Flatbush Development Corporation,(718) 743-0575,Adults,"3049 Brighton 6th Street11235
(40.578431288323, -73.961743706863)",11235,40.578435,-73.961751,13,48,362,3397165,3086767501,Brighton Beach                                                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"3049 Brighton 6th Street11235
(40.578431288323, -73.961743706863)",11235,40.578435,-73.961751,13,48,362,3397165,3086767501,Brighton Beach                                                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,PS 225 - Eileen E Zaglin School,Brooklyn,"Shorefront YM-YWHA of Brighton-Manhattan Beach, Inc.",(718) 891-0264,16+,"1075 Oceanview Avenue11235
(40.579791094425, -73.956433505479)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,Shorefront YM-YWHA,(347) 274-3417,OST,"1075 OCEAN VIEW AVENUE11235
(40.579791094425, -73.956433505479)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
After-School Programs,Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,"Brighton Neighborhood Association, Inc.",(718) 891-0800,Middle School,"1075 Ocean View Avenue11235
(40.579791094425, -73.956433505479)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
After-School Programs,Out of School Time,P.S./I.S. 225 EILEEN E. ZAGLIN,Brooklyn,Shorefront YM-YWHA,(347) 274-3417,Elementary,"1075 OCEAN VIEW AVENUE11235
(40.579791094425, -73.956433505479)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Public School 225 - Eileen E Zaglin School,Brooklyn,Shorefront YM-YWHA,718-646-1444,A parent 16 Years Old or Older,"1075 Oceanview Avenue11235
(40.579791094425, -73.956433505479)",11235,40.579737,-73.956329,13,48,61004,3245498,3087120056,Brighton Beach                                                             
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 225 SEASIDE SCHOOL,Queens,Bergen Basin Community Development Corp.,(917) 626-4703,Elementary,"1 90 BEACH 110 STREET11694
(40.576578305644, -73.850777000558)",11694,40.580928,-73.831836,14,32,938,4303853,4161810001,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
After-School Programs,Beacon,IS 43,Queens,Federation Employment Guidance Services Inc. ,718.471.7875,6 and up,"160 Beach Channel 29th Street11691
(40.600614338481, -73.762567774683)",11694,40.583775,-73.839659,14,32,93401,,,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
After-School Programs,Out of School Time,Beach Channel HS,Queens,Rockaway Development & Revitalization Corporation,(718) 945-6900,High School,"100 00 Beach Channel Drive11694
(40.576578305644, -73.850777000558)",11694,40.586066,-73.822624,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
After-School Programs,Out of School Time,JHS 262 (Channel View),Queens,New York Junior Tennis League,(347) 417-8182,Middle School,"100 00 Beach Channel Drive11695
(40.597608000209, -73.820967000027)",11694,40.586066,-73.822624,14,32,94201,4303773,4161670099,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
After-School Programs,Out of School Time,I.S. 14 SHELL BANK (Middle),Brooklyn,YMCA of Greater New York/Flatbush Branch,(718) 469-8100,Middle School,"2424 Batchelder Street11235
(40.593548266904, -73.937702570995)",11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
After-School Programs,Out of School Time,I.S. 14 SHELL BANK (Elem),Brooklyn,YMCA of Greater New York/Flatbush Branch,(718) 469-8100,Elementary,"2424 Batchelder Street11235
(40.593548266904, -73.937702570995)",11235,40.593521,-73.937672,15,48,596,3203617,3074240001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 43 P.S. 43,Queens,Federation Employment & Guidance Services (FEGS),(718) 471-7875,Elementary,"160 Beach 29th Street11691
(40.594515128003, -73.761826540295)",11691,40.593834,-73.76174,14,31,99802,4467711,4158200001,Far Rockaway-Bayswater                                                     
After-School Programs,Out of School Time,Lafayette HS,Brooklyn,"The Alliance of Guardian Angels, Inc.",(718) 372-3480,High School,"2630 Benson Avenue11214
(40.594480146828, -73.98615807328)",11214,40.594291,-73.98577,13,47,306,3186454,3068830001,Gravesend                                                                  
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA OCEAN BAY APARTMENTS,Queens,Police Athletic League @Ocean Bay Community Center,(718) 634-4493,6 and up,"57 10 Beach Channel Drive11692
(40.59313388562, -73.795402084638)",11692,40.59476,-73.787436,14,31,97203,4436449,4160020001,Hammels-Arverne-Edgemere                                                   
"After-School Programs,NDA Programs,Adolescent Literacy,Youth Educational Support", Middle School Youth,IS 281 JOSEPH B CAVALLARO (K281),Brooklyn,Thessalonia Baptist Church,(718) 236-5266,Middle School,"8787 24 AVENUE11214
(40.595492729469, -73.993265467648)",11214,40.595341,-73.993457,11,47,304,3186626,3068910001,Bensonhurst East                                                           
After-School Programs,Out of School Time,I.S. 281 JOSEPH B. CAVALLARO S,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(917) 757-8950,Middle School,"8787 24th Avenue11214
(40.595492729469, -73.993265467648)",11214,40.595341,-73.993457,11,47,304,3186626,3068910001,Bensonhurst East                                                           
After-School Programs,Out of School Time,Far Rockaway - Opt 2,Queens,Madison Square Boys & Girls Club,(718) 471-5453,Elem/MS/HS,"426 Beach 40th Street11691
(40.596151439098, -73.772372659215)",11691,40.596249,-73.772408,14,31,97203,4302129,4159550003,Hammels-Arverne-Edgemere                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,Beach 41st Club (middle sch..),Queens,Madison Square Boys & Girls Club,(718) 471-5453,OST,"426 Beach 40th Street11691
(40.596151439098, -73.772372659215)",11691,40.596249,-73.772408,14,31,97203,4302129,4159550003,Hammels-Arverne-Edgemere                                                   
After-School Programs,Out of School Time,Beach 41st Club (middle sch..),Queens,Madison Square Boys & Girls Club,(718) 471-5453,Middle School,"426 Beach 40th Street11691
(40.596151439098, -73.772372659215)",11691,40.596249,-73.772408,14,31,97203,4302129,4159550003,Hammels-Arverne-Edgemere                                                   
After-School Programs,Out of School Time,Beach 41st Club (high school),Queens,Madison Square Boys & Girls Club,(718) 471-5453,High School,"426 Beach 40th Street11691
(40.596151439098, -73.772372659215)",11691,40.596249,-73.772408,14,31,97203,4302129,4159550003,Hammels-Arverne-Edgemere                                                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./I.S. 206 JOSEPH F. LAMB S,Brooklyn,Brooklyn Chinese American Association,(718) 438-0008,Elementary,"2200 Gravesend Neck Road11229
(40.597331311321, -73.948987253761)",11229,40.597369,-73.948946,15,48,59401,3201080,3073810201,Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"2600 Ocean Avenue11229
(40.598089925354, -73.951269838066)",11229,40.598158,-73.951186,15,48,578,3199766,3073520032,Madison                                                                    
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,Jay Senior Center,Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adults,"2600 Ocean Avenue11229
(40.598089925354, -73.951269838066)",11229,40.598158,-73.951186,15,48,578,3199766,3073520032,Madison                                                                    
"Family Support,NDA Programs", Housing,Jay Harama Senior Center,Brooklyn,Harlem Justice Center,(718) 743-0575,Adults,"2600 Ocean Avenue11229
(40.598089925354, -73.951269838066)",11229,40.598158,-73.951186,15,48,578,3199766,3073520032,Madison                                                                    
After-School Programs,Out of School Time,P.S. 215 LUCRETIA MOTT SCHOOL,Queens,Safe Space,(347) 489-0857,Elementary,"535 Briar Place11691
(40.599153765123, -73.758324183404)",11691,40.5993,-73.758206,14,31,99801,4301194,4157720031,Far Rockaway-Bayswater                                                     
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 215 LUCRETIA MOTT SCHOOL,Queens,Safe Space,(347) 489-0857,OST,"535 Briar Place11691
(40.599153765123, -73.758324183404)",11691,40.5993,-73.758206,14,31,99801,4301194,4157720031,Far Rockaway-Bayswater                                                     
"Family Support,NDA Programs", Housing,Office of Senator Kruger,Brooklyn,Erasmus H.S. of Service Learning,(718) 743-0575,Adults,"2201 Avenue
U 11229
(40.601233507321, -73.944368541175)",11229,40.599623,-73.949312,15,48,576,3198446,3073270049,Madison                                                                    
After-School Programs,Out of School Time,Torah Academy,Queens,National Society For Hebrew Day Schools,(718) 252-4446,High School,"636 Lanett Avenue11691
(40.599684030005, -73.741511090468)",11691,40.59965,-73.741528,14,31,101002,4463016,4155960007,Far Rockaway-Bayswater                                                     
After-School Programs,Out of School Time,P.S. 197 OCEAN SCHOOL,Queens,YMCA of Greater New York/Cross Island,(917) 704-1239,Elementary,"8 25 HICKSVILLE ROAD11691
(40.600614338481, -73.762567774683)",11691,40.600199,-73.743968,14,31,101002,4298856,4155970001,Far Rockaway-Bayswater                                                     
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 197 OCEAN SCHOOL,Queens,YMCA of Greater New York/Cross Island,(917) 704-1239,OST,"8 25 HICKSVILLE ROAD11691
(40.600614338481, -73.762567774683)",11691,40.600199,-73.743968,14,31,101002,4298856,4155970001,Far Rockaway-Bayswater                                                     
"Immigration Services,Immigrant Support Services",Immigrant/Refugee Assistance,"Homecrest Community Services, Inc.",Brooklyn,Shorefront Jewish Community Council,718.743.0575,Adults,"1413 Avenue
T 11229
(40.601233507321, -73.944368541175)",11229,40.60102,-73.957543,15,48,556,3196793,3072930043,Homecrest                                                                  
"NDA Programs,Senior Programs,Older Adult Program",Seniors,"Homecrest Community Services, Inc.",Brooklyn,The Arab-American Family Support Center,(718) 376-4036,Seniors,"1413 Avenue
T 11229
(40.601233507321, -73.944368541175)",11229,40.60102,-73.957543,15,48,556,3196793,3072930043,Homecrest                                                                  
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 153 HOMECREST SCHOOL,Brooklyn,Chinese American Planning Council,(718) 627-6373,Elementary,"1970 Homecrest Avenue11229
(40.601161285821, -73.959720634559)",11229,40.601617,-73.959779,15,48,556,3196677,3072910030,Homecrest                                                                  
After-School Programs,Out of School Time,Sephardic Center,Brooklyn,Sephardic Community Center,(718) 954-3145,Middle School,"1901 Ocean Parkway11223
(40.602427336139, -73.966037271409)",11223,40.60211,-73.966289,15,47,416,3190468,3070880001,Homecrest                                                                  
"Reading & Writing,NDA Programs,English Language Program,ESOL,Family Literacy", Adult Literacy,"Jewish Community Council of Greater Coney Island, Inc.",Brooklyn,"Jewish Community Council of Greater Coney Island, Inc.",(718) 449-5000 x 2237,16+,"8635 21st Avenue11214
(40.602534293267, -73.996780438871)",11214,40.602524,-73.996827,11,47,290,3166996,3063780019,Bensonhurst West                                                           
After-School Programs,Out of School Time,P.S. 200 BENSON SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(917) 842-7569,Elementary,"1940 BENSON AVENUE11214
(40.603158831795, -74.001395566431)",11214,40.603188,-74.001408,11,43,282,3167818,3064070008,Bath Beach                                                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 200 BENSON SCHOOL,Brooklyn,YMCA of Greater New York/Prospect Park,(917) 842-7569,OST,"1940 BENSON AVENUE11214
(40.603158831795, -74.001395566431)",11214,40.603188,-74.001408,11,43,282,3167818,3064070008,Bath Beach                                                                 
"After-School Programs,Summer Program,Summer Camp",Out of School Time,KNOWLEDGE & POWER PREPARATORY,Queens,Safe Space,(718) 276-2481ï¿½,OST,"1045 Nameoke Street11691
(40.604063741214, -73.749292671618)",11691,40.603622,-73.749097,14,31,103202,4298234,4155570025,Far Rockaway-Bayswater                                                     
After-School Programs,Out of School Time,M.S. 53 BRIAN PICCOLO SCHOOL,Queens,"Rockaway Artist Alliance, Inc.",,Middle School,"1045 Nameoke Street11691
(40.604063741214, -73.749292671618)",11691,40.603622,-73.749097,14,31,103202,4298234,4155570025,Far Rockaway-Bayswater                                                     
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718.327.5300,High School,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",11691,40.603907,-73.752262,14,31,103202,4457760,4155590012,Far Rockaway-Bayswater                                                     
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Rockaway Development & Revitalization Corporation,Queens,Rockaway Development & Revitalization Corporation,718-327-5300 ,14 to 24,"1920 Mott Avenue11691
(40.603879525424, -73.752178931552)",11691,40.603907,-73.752262,14,31,103202,4457760,4155590012,Far Rockaway-Bayswater                                                     
"Family Support,NDA Programs", Housing,Aids Center of Queens County,Queens,International Tower for Seniors,(718) 896-2500,Adults,"1600 Central Avenue11691
(40.605264212936, -73.751891714766)",11691,40.605182,-73.751962,14,31,103202,4297967,4155370147,Far Rockaway-Bayswater                                                     
"Family Support,NDA Programs",Healthy Families,Aids Center of Queens County,Queens,Father David Cassella Plaza,(718) 896-2500,,"1600 Central Avenue11691
(40.605264212936, -73.751891714766)",11691,40.605182,-73.751962,14,31,103202,4297967,4155370147,Far Rockaway-Bayswater                                                     
"Immigration Services,Immigrant Support Services",Domestic Violence Program,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,New York Legal Assistance Group (NYLAG),212.613.5000,All Ages,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
"Jobs & Internships,Youth Employment",Summer Youth Employment ,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-331-6800 x112,14 to 24,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
After-School Programs,Out of School Time,Edith & Carl Marks MS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Middle School,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
"Family Support,NDA Programs",Healthy Families,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Phipps Opportunity Center,(718) 331-6800,,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
"Reading & Writing,NDA Programs,Family Literacy",Family Literacy,Edith and Carl Marks Jewish Community House of Bensonhurst,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,718-943-6325,A parent 16 Years Old or Older,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
After-School Programs,Out of School Time,Edith & Carl Marks PS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,Elementary,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
After-School Programs,Out of School Time,Edith & Carl Marks HS,Brooklyn,Edith and Carl Marks Jewish Community House of Bensonhurst,(718) 331-6800,High School,"7802 Bay Parkway11214
(40.606424326706, -73.989192742721)",11214,40.606369,-73.989235,11,44,270,3162352,3062640030,Bensonhurst West                                                           
"NDA Programs,Immigration Services,Immigrant Support Services", Immigrant,F.E.G.S Brooklyn Resource Center,Brooklyn,JHS 292 MARGARET S DOUGLAS (K292),(212) 366-8531,Adults,"938 Kings Highway11223
(40.607008519866, -73.962821012237)",11223,40.607066,-73.962714,15,44,418,3177634,3066660112,Homecrest                                                                  
"Immigration Services,Immigrant Support Services,NDA Programs,NDA Immigrants",NDA Immigrants,F.E.G.S. Brooklyn Resource Center [Program site],Brooklyn,"Federation of Employment and Guidance Services, Inc.",718-336-2836x330 ,Adults,"938 Kings Highway11233
(41.034599832155, -73.673688408394)",11223,40.607066,-73.962714,15,44,418,3177634,3066660112,Homecrest                                                                  
After-School Programs,Beacon,IS 96,Brooklyn,Federation of Italian American Organizations of Brooklyn Inc. ,718.232.2266,6 and up,"99 Avenue
P 11204
(40.619055848049, -73.984798598876)",11204,40.60754,-73.984661,11,44,430,3174076,3065950033,Bensonhurst East                                                           
"After-School Programs,Jobs & Internships,Youth Employment",In-School Youth Employment (ISY),Public School 80 - The Michael J. Petrides School,Staten Island,"Police Athletic League, Inc.",212.477.6504,High School,"715 Ocean Terrace10301
(40.607458917131, -74.101488293171)",10301,40.608517,-74.102078,2,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S./H.S 80 MICHAEL J. PETRIDE,Staten Island,"Police Athletic League, Inc.",(718) 390-0876,Elementary,"715 Ocean Terrace10301
(40.607458917131, -74.101488293171)",10301,40.608517,-74.102078,2,50,177,5113169,5006830001,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   
"After-School Programs,Beacon,NYCHA Community Center",Beacon Satellite,NYCHA REDFERN HOUSES,Queens,Police Athletic League @Redfern Community Center,(718) 471-0360,6 and up,"1544 Hassock Street11691
(40.608773916286, -73.753078449256)",11691,40.609102,-73.753359,14,31,103201,4449685,4155010002,Far Rockaway-Bayswater                                                     
After-School Programs,Out of School Time,CONCORD HIGH SCHOOL,Staten Island,New York Center for Interpersonal Development,(718) 947-4136,High School,"109 Rhine Ave10304
(40.610984251887, -74.087208978894)",10304,40.610868,-74.087379,1,49,40,5043479,5028850001,Grymes Hill-Clifton-Fox Hills                                              
"After-School Programs,Summer Program,Summer Camp",Out of School Time,P.S. 229 DYKER SCHOOL,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 236-5447,OST,"1400 Benson Avenue11228
(40.610669431614, -74.012920465726)",11228,40.610963,-74.013376,11,43,170,3167212,3063910024,Bath Beach                                                                 
After-School Programs,Out of School Time,P.S. 229 DYKER SCHOOL,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 236-5447,Elementary,"1400 Benson Avenue11228
(40.610669431614, -74.012920465726)",11228,40.610963,-74.013376,11,43,170,3167212,3063910024,Bath Beach                                                                 
After-School Programs,Out of School Time,P.S. 186 DR. IRVING A. GLADSTO,Brooklyn,St. Rosalia-Regina Pacis Neighborhood Improvement,(718) 236-0971,Elementary,"7601 19th Avenue11214
(40.611544102011, -73.994575112492)",11214,40.611483,-73.994677,11,47,274,3160923,3062390001,Bensonhurst West                                                           
After-School Programs,Out of School Time,P.S. 57 HUBERT HUMPHREY SCHOOL,Staten Island,"Police Athletic League, Inc.",(718) 720-8718,High School,"140 Palma Drive10304
(40.611361296122, -74.082831064981)",10304,40.611508,-74.083177,1,49,40,5043519,5028880040,Grymes Hill-Clifton-Fox Hills                                              
After-School Programs,Out of School Time,P.S. 57 HUBERT HUMPHREY SCHOOL,Staten Island,YMCA of Greater New York/Staten Island YMCA,(718) 556-5294,Elementary,"140 Palma Drive10304
(40.611361296122, -74.082831064981)",10304,40.611508,-74.083177,1,49,40,5043519,5028880040,Grymes Hill-Clifton-Fox Hills                                              
After-School Programs,Out of School Time,P.S. 13 MARGARET L. LINDEMEYER,Staten Island,"Police Athletic League, Inc.",(718) 720-8718,High School,"191 Vermont Avenue10305
(40.613135382424, -74.069801484789)",10305,40.613216,-74.069889,1,49,8,5042776,5028520001,Stapleton-Rosebank                                                         
"After-School Programs,NDA Programs,Youth Educational Support", High-School Aged Youth,NEW UTRECHT HIGH SCHOOL (K445),Brooklyn,BCA 6th Avenue Senior Center,(718) 951-5015,High School,"1601 80 Street11210
(40.627722263871, -73.946537919989)",11214,40.613262,-74.003404,11,43,182,3162711,3062710001,Bensonhurst West                                                           
