Address,BBL,BIN,BoroCD,Borough,CT2010,CouncilDistrict,Items_Accepted,Latitude,Longitude,NTAName,Nonprofit_Organization,Number,Operations_Type,Public_Email,Public_Phone,Street,Unit,Vendor_Name,Website,point,zipcode,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
47-47 Van Dam St,4002530048.0,4003448,402,Queens,199,26,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.74152755737305,-73.93378448486328,Hunters Point-Sunnyside-West Maspeth,true,47-47,Nonprofit Organizations/Thrift Stores,info@goodwillnynj.org,718-728-5400,Van Dam St,,Goodwill Industries of Greater New York & Northern New Jersey,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=10&BId=16,POINT (-73.933786 40.741529),11101,16858,53,3,33,66
2173 Grand Concourse,2031620096.0,2013761,205,Bronx,23704,14,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.855308532714844,-73.90177154541016,Fordham South,false,2173,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Grand Concourse,,Helpsy,https://www.helpsy.co/,POINT (-73.901773 40.855307),10453,10931,6,5,29,29
1804 Ralph Ave,3079790080.0,3223371,318,Brooklyn,722,46,"Clothing, Shoes, Accessories",40.633113861083984,-73.9190444946289,Flatlands,false,1804,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Ralph Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.919042 40.633112000000004),11236,13827,5,2,8,38
120 N 4 St,3023510016.0,3062367,301,Brooklyn,553,34,Denim only.,40.71666717529297,-73.96070861816406,North Side-South Side,false,120,Retail Store Takeback Programs,N/A,718-963-3750,N 4 St,,Levi Strauss,https://www.levi.com/US/en_US/blog/article/where-to-recycle-your-clothes/�,POINT (-73.960709 40.716668),11249,17613,36,2,30,57
345 W 14 St,1007387520.0,1013007,104,Manhattan,83,3,"Clothing & shoes. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.74089431762695,-74.00444793701172,Hudson Yards-Chelsea-Flatiron-Union Square,false,345,Retail Store Takeback Programs,https://www.columbia.com/CustomerService-ContactUs,(212) 401-6367,W 14 St,,Columbia Sportswear,https://www.columbia.com/About-Us_Giving-Back_Rethreads.html,POINT (-74.00444649999997 40.740892700000074),10014,12077,12,4,10,6
26 E 125 St,1017490048.0,1054011,111,Manhattan,198,9,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.80568313598633,-73.94119262695313,East Harlem North,true,26,Nonprofit Organizations/Thrift Stores,Donations@salvationarmyusa.org,800-728-7825,E 125 St,,The Salvation Army Of Greater New York,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=11&BId=35,POINT (-73.941194 40.805684),10035,13093,7,4,36,16
340 Willis Ave,2022860032.0,2000363,201,Bronx,41,8,"Clothing, Shoes, Bedding And Linens, Towels, Coats",40.81134033203125,-73.92096710205078,Mott Haven-Port Morris,true,340,Nonprofit Organizations/Thrift Stores,N/A,718.292.9321,Willis Ave,,Abraham House,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=1997&BId=1954,POINT (-73.920964 40.81134),10454,10932,49,5,35,23
1730 2 Ave,1015527488.0,1073503,108,Manhattan,154,5,"Clothing, Shoes, Coats, Accessories",40.78019332885742,-73.94960021972656,Yorkville,true,1730,Nonprofit Organizations/Thrift Stores,info@housingworks.org,347-473-7400,2 Ave,,Housing Works,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=66&BId=116,POINT (-73.949598 40.78019400000001),10128,10099,23,4,1,11
515 Broadway,1.00484e9,1083498,102,Manhattan,49,1,"Clothes and home textiles from any brand, in clean and dry condition. Bring in your items and receive 15% off your next purchase. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/.",40.72273254394531,-73.9993667602539,SoHo-TriBeCa-Civic Center-Little Italy,false,515,Retail Store Takeback Programs,info@hm.com,855-466-7467,Broadway,,H&M,https://about.hm.com/en/sustainability/get-involved/recycle-your-clothes.html,POINT (-73.99937 40.72273080000008),10012,12075,57,4,32,1
741 Utica Ave,3.04656e9,3101420,317,Brooklyn,868,41,"Clothing, Shoes",40.65488052368164,-73.93035125732422,Rugby-Remsen Village,false,741,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Utica Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.930353 40.654882),11203,16866,61,2,17,40
151 7 Ave,3010690048.0,3342116,306,Brooklyn,157,39,Used Athletic Shoes collected on behalf of MORE Foundation.,40.6724853515625,-73.97657775878906,Park Slope-Gowanus,true,151,Retail Store Takeback Programs,service@jackrabbit.com,1 917-780-4446,7 Ave,,JackRabbit,https://www.jackrabbit.com/info/shoe-donation-program,POINT (-73.976579 40.672484),11215,17617,14,2,27,50
35-20 Francis Lewis Blvd,0.0,0,411,Queens,1139,19,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.763771057128906,-73.78819274902344,Auburndale,false,35-20,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Francis Lewis Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.788193 40.76377),11358,14193,26,3,20,69
272-10 Union Tpke,4086749952.0,4177267,413,Queens,157901,23,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats, Rugs",40.75216293334961,-73.70155334472656,Glen Oaks-Floral Park-New Hyde Park,true,272-10,Publicly Accessible Donation Bins,N/A,516-437-1307,Union Tpke,,Friendship Circle,https://www.chabadroslyn.com/templates/section_cdo/aid/.../Friendship-Circle.htm,POINT (-73.701555 40.75216400000001),11040,16515,,,,
3055 Westchester Ave,0.0,0,210,Bronx,26601,13,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.848548889160156,-73.8311538696289,Pelham Bay-Country Club-City Island,false,3055,Publicly Accessible Donation Bins,Info@MyCountyRecycling.org,800-261-7099,Westchester Ave,,County Recycling LLC,www.mycountyrecycling.org/contact,POINT (-73.831155 40.848547),10461,11270,43,5,12,28
316 Bleecker St,1005880064.0,1010047,102,Manhattan,73,3,They only accept T-shirts with the exception of any made of spandex. Can receive $5 credit for each tee up to $25.,40.73296356201172,-74.00416564941406,West Village,false,316,Retail Store Takeback Programs,help@marinelayer.com,(646) 864-3604,Bleecker St,,Marine Layer,https://www.marinelayer.com/pages/respun,POINT (-74.00416229999996 40.73296450000004),10014,12077,57,4,10,3
666 5 Ave,1012687488.0,1034520,105,Manhattan,104,4,Contact store for details,40.76003646850586,-73.97639465332031,Midtown-Midtown South,false,666,Retail Store Takeback Programs,N/A,212-765-0477,5 Ave,,Zara,https://www.zara.com/us/en/sustainability-collection-program-l1452.html,POINT (-73.97639759999998 40.76003690000005),10103,10093,11,4,51,10
2264 Forest Ave,5016849920.0,5149439,501,Staten Island,30302,49,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.62652587890625,-74.16551208496094,Mariner's Harbor-Arlington-Port Ivory-Graniteville,false,2264,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Forest Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.165512 40.626524),10303,10371,4,1,13,75
213-02 Jamaica Ave,4107590144.0,4230632,413,Queens,568,27,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.716129302978516,-73.7447509765625,Queens Village,false,213-02,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Jamaica Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.744753 40.71613),11428,24337,63,3,6,63
76-9 34 Ave,4012489984.0,4028767,403,Queens,287,25,"Clothing, Shoes, Linens, Accessories",40.753360748291016,-73.88990020751953,Jackson Heights,true,76-9,Textile Recycling at Farmers' Markets,recycle@grownyc.org,212-788-7972,34 Ave,,Jackson Heights Greenmarket: GrowNYC Clothing & Textile Recycling Collections,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=79&BId=139,POINT (-73.889904 40.75336),11372,14783,65,3,5,73
601 W 114 St,1.01896e9,1057367,109,Manhattan,205,7,"Clothing, Shoes, Coats",40.80704116821289,-73.96513366699219,Morningside Heights,true,601,Nonprofit Organizations/Thrift Stores,volunteer@broadwaycommunity.org,N/A,W 114 St,,Broadway Community at Broadway Presbyterian Church,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=275&BId=316,POINT (-73.965134 40.807042),10025,12422,37,4,23,17
218 W 234 St,2057550080.0,2083561,208,Bronx,287,11,"Clothing, Shoes, Coats, Accessories",40.88203811645508,-73.9036636352539,Spuyten Duyvil-Kingsbridge,false,218,Organizations/Thrift Stores,N/A,718-548-1190,W 234 St,,MYUNIQUE Thrift Bronx,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=541&BId=516,POINT (-73.903663 40.882037),10463,11272,48,5,40,33
4001 4 Ave,3007140096.0,3010582,307,Brooklyn,82,38,"Clothing, Shoes",40.6517448425293,-74.00668334960938,Sunset Park West,false,4001,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,4 Ave,,Usagain LLC,http://www.usagain.com/,POINT (-74.00668100000001 40.651744),11232,13515,9,2,7,45
3210 Webster Ave,2033570048.0,2018680,207,Bronx,42901,11,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.874263763427734,-73.87359619140625,Norwood,false,3210,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Webster Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.873597 40.874263),10467,11605,24,5,40,34
537 Broadway,1004980032.0,1007581,102,Manhattan,49,1,"Clothing & shoes. Bring in a minimum of 5 items & receive 15% off your next purchase. All brands in clean, dry condition accepted. Visit or call store for more details. I:CO partner - https://www.ico-spirit.com/en/",40.72343063354492,-73.9988021850586,SoHo-TriBeCa-Civic Center-Little Italy,false,537,Retail Store Takeback Programs,https://shop.guess.com/en/customercare/contactus/,(212) 226-9545,Broadway,,GUESS,https://shop.guess.com/en/resourced/,POINT (-73.99880379999996 40.723429),10012,12075,57,4,32,1
975 Nostrand Ave,3013090048.0,3034540,309,Brooklyn,319,35,"Clothing, Shoes, Accessories",40.66480255126953,-73.95040130615234,Crown Heights South,false,975,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Nostrand Ave,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-73.950402 40.664803),11225,13509,17,2,48,44
2441 Boston Rd,2044300032.0,2051309,211,Bronx,330,15,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs",40.8621826171875,-73.86717224121094,Bronxdale,true,2441,Nonprofit Organizations/Thrift Stores,Donations@salvationarmyusa.org,800-728-7825,Boston Rd,,The Salvation Army Of Greater New York,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=11&BId=25,POINT (-73.86717500000002 40.862181),10467,11605,59,5,22,32
3024 Clarendon Rd,3049469952.0,3111258,317,Brooklyn,828,45,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.643070220947266,-73.94790649414063,Erasmus,false,3024,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Clarendon Rd,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.94791 40.643071),11226,13510,61,2,26,40
7 W 30 St,1008320064.0,1015782,105,Manhattan,76,4,"Clothing, Shoes, Bedding, Towels",40.7464714050293,-73.98709869384766,Midtown-Midtown South,true,7,Nonprofit Organizations/Thrift Stores,infony@roomtogrow.org,212-620-7800,W 30 St,3,Room to Grow,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=1920&BId=1872,POINT (-73.98709700000002 40.746473),10001,11722,11,4,51,8
2285 Flatbush Ave,3084880128.0,3239493,318,Brooklyn,672,46,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.614803314208984,-73.92777252197266,Flatlands,false,2285,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Flatbush Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.927773 40.614802),11234,13825,5,2,8,38
300 Sound View Ave,2034739968.0,2020489,209,Bronx,4,18,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.811954498291016,-73.85619354248047,Soundview-Castle Hill-Clason Point-Harding Park,false,300,Publicly Accessible Donation Bins,Info@MyCountyRecycling.org,800-261-7099,Sound View Ave,,County Recycling LLC,www.mycountyrecycling.org/contact,POINT (-73.856195 40.811953),10473,11611,58,5,31,26
1889 Sedgwick Ave,2028810112.0,2092068,205,Bronx,247,16,"Clothing, Shoes",40.85441207885742,-73.91765594482422,University Heights-Morris Heights,false,1889,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Sedgwick Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.917657 40.854412),10453,10931,6,5,42,29
142-02 20 Avenue,4041830144.0,4099356,407,Queens,907,19,"Clothing, Shoes, Accessories, Coats, Bedding And Linens, Rugs, Other",40.72159194946289,-73.79468536376953,College Point,true,142-02,Publicly Accessible Donation Bins,info@goodwillnynj.org,718-728-5400,20 Avenue,,Whitestone U.S. Post Office,http://goodwillnynj.org,POINT (-73.79468689999999 40.721591),11357,24340,25,3,24,65
308 W 46 St,1010360064.0,1025013,104,Manhattan,121,3,"Clothing, Shoes, Coats",40.759864807128906,-73.9886703491211,Clinton,true,308,Nonprofit Organizations/Thrift Stores,info@stlukesnyc.org,212-246-3540,W 46 St,,St. Luke's Lutheran Church,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=3413&BId=3377,POINT (-73.988674 40.759864),10036,13094,12,4,10,10
1915 Bruckner Blvd,2037330048.0,2023701,209,Bronx,4001,18,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.826602935791016,-73.85906982421875,Soundview-Bruckner,false,1915,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Bruckner Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.859073 40.826602),10472,11610,58,5,31,26
141-40 Northern Blvd,4050119936.0,4113394,407,Queens,865,20,"Clothing, Shoes",40.7642707824707,-73.82398223876953,Flushing,false,141-40,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Northern Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.823986 40.764272),11354,13832,22,3,3,67
2110 Richmond Rd,5035780096.0,5095447,502,Staten Island,11402,50,"Clothing, Shoes",40.58143615722656,-74.11128997802734,New Dorp-Midland Beach,false,2110,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Richmond Rd,,Usagain LLC,http://www.usagain.com/,POINT (-74.111287 40.581437),10306,10693,30,1,14,76
86-02 Northern Blvd,4014340096.0,4035313,403,Queens,279,25,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.755767822265625,-73.88131713867188,Jackson Heights,false,86-02,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Northern Blvd,,Helpsy,https://www.helpsy.co/,POINT (-73.881314 40.755767),11372,14783,65,3,5,73
107-55 64 Ave,0.0,0,406,Queens,743,29,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.732975006103516,-73.85078430175781,Forest Hills,false,107-55,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,64 Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.850783 40.732974),11375,14786,40,3,28,70
74 Guernsey St,3026439936.0,3066007,301,Brooklyn,569,33,Contact store for details,40.72371292114258,-73.95256042480469,Greenpoint,false,74,Organizations/Thrift Stores,service@beaconscloset.com,(718) 486-0816,Guernsey St,,beacon's closet,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=425&BId=428,POINT (-73.95256 40.723712),11222,18182,36,2,38,57
938 E 163 St,2027030016.0,2086552,202,Bronx,87,17,"Clothing, Shoes, Coats",40.820709228515625,-73.89627838134766,Longwood,false,938,Publicly Accessible Donation Bins,N/A,631-225-5246,E 163 St,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.896276 40.82071),10459,10937,8,5,43,24
341 Columbus Ave,1011289984.0,1028795,107,Manhattan,161,6,Contact store for details,40.78009796142578,-73.97660064697266,Upper West Side,false,341,Retail Store Takeback Programs,�onlinesupport@eileenfisher.com,212-362-3000,Columbus Ave,,Eileen Fisher,https://www.eileenfisher.com/renew,POINT (-73.976598 40.780098),10024,12420,20,4,19,12
50-15 Roosevelt Ave,4013190144.0,4030851,402,Queens,25302,26,"Clothing, Shoes, Coats, Towels",40.7440299987793,-73.91455841064453,Hunters Point-Sunnyside-West Maspeth,true,50-15,Publicly Accessible Donation Bins,N/A,866-931-0232,Roosevelt Ave,,Carecycle Inc,carecyclecares.com/,POINT (-73.914562 40.74403),11377,14787,53,3,33,66
4514 Greenpoint Ave,4001649920.0,4001963,402,Queens,183,26,"Clothing, Shoes, Coats, Accessories",40.74187469482422,-73.91936492919922,Hunters Point-Sunnyside-West Maspeth,false,4514,Organizations/Thrift Stores,N/A,718-786-7780,Greenpoint Ave,,Sunnyside Thrift Shop,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=784&BId=728,POINT (-73.919365 40.741874),11104,14787,53,3,33,66
23 Bogart St,3031180032.0,3071586,301,Brooklyn,485,34,Contact store for details,40.704036712646484,-73.93329620361328,Bushwick South,false,23,Organizations/Thrift Stores,service@beaconscloset.com,(718) 417-5683,Bogart St,,beacon's closet,https://www1.nyc.gov/assets/donate/giveandfind/residents/printvendorslist.shtml?Id=425&BId=431,POINT (-73.933295 40.704037),11206,17213,36,2,30,56
765 Putnam Ave,3016460032.0,3045224,303,Brooklyn,293,36,"Clothing, Shoes",40.686485290527344,-73.9308853149414,Stuyvesant Heights,true,765,Publicly Accessible Donation Bins,info@planetaid.org,973-882-7956,Putnam Ave,,Planet Aid,http://www.planetaid.org/,POINT (-73.930884 40.686486),11221,18181,69,2,49,52
63-02 Fresh Pond Rd,4035219968.0,4084599,405,Queens,593,30,"Clothing, Shoes, Coats",40.711692810058594,-73.90032196044922,Ridgewood,false,63-02,Publicly Accessible Donation Bins,N/A,631-225-5246,Fresh Pond Rd,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.900319 40.711694),11385,15310,54,3,34,62
845 Targee St,5031529984.0,5046178,502,Staten Island,50,50,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.60740280151367,-74.08939361572266,Grasmere-Arrochar-Ft. Wadsworth,false,845,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Targee St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-74.089393 40.607402),10304,10691,30,1,14,76
2811 Boston Rd,2045160064.0,2053828,211,Bronx,342,13,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.86747741699219,-73.8603286743164,Allerton-Pelham Gardens,false,2811,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Boston Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.86033 40.867477),10469,11607,59,5,12,32
62-59 Fresh Pond Rd,4036080128.0,4087421,405,Queens,61301,30,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.71228790283203,-73.90013122558594,Ridgewood,false,62-59,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Fresh Pond Rd,,Helpsy,https://www.helpsy.co/,POINT (-73.900135 40.712286),11385,15310,54,3,34,62
1511 Metropolitan Ave,2039447552.0,2096777,209,Bronx,21001,18,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.83948516845703,-73.85891723632813,Parkchester,false,1511,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,Metropolitan Ave,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.85892 40.839487),10462,11271,58,5,31,26
153-01 10 Ave,4045310464.0,4103020,407,Queens,987,19,"Clothing, Shoes, Coats",40.79408645629883,-73.80809783935547,Whitestone,false,153-01,Publicly Accessible Donation Bins,N/A,631-225-5246,10 Ave,,H&M Leasing Corp,https://www.handmleasing.org/,POINT (-73.808097 40.794085),11357,14192,22,3,20,67
64-02 108 St,4021489920.0,4442647,406,Queens,743,29,"Clothing, Shoes, Coats, Accessories, Bedding, Towels",40.73269271850586,-73.84992218017578,Forest Hills,false,64-02,Publicly Accessible Donation Bins,�info@spingreen.com,800-584-0460,108 St,,"Spin Green, LLC",http://www.spingreen.com/,POINT (-73.849925 40.732692),11375,14786,40,3,28,70
1066 E 103 St,3082290176.0,3231253,318,Brooklyn,986,46,"Clothing, Shoes",40.64350509643555,-73.89318084716797,Canarsie,false,1066,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,E 103 St,,Usagain LLC,http://www.usagain.com/,POINT (-73.893181 40.643505),11236,13827,5,2,8,42
1492 Hylan Blvd,5033580032.0,5049720,502,Staten Island,70,50,"Clothing, Shoes, Accessories",40.59182357788086,-74.08715057373047,Old Town-Dongan Hills-South Beach,false,1492,Publicly Accessible Donation Bins,�support@communityrecycling.biz,800-336-0141,Hylan Blvd,,Community Recycling LLC,https://www.communityrecycling.biz/,POINT (-74.087151 40.591824),10305,10692,30,1,14,76
4352 Bronx Blvd,2050340096.0,2069596,212,Bronx,418,11,"Clothing, Shoes",40.89817810058594,-73.85846710205078,Woodlawn-Wakefield,false,4352,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,Bronx Blvd,,Usagain LLC,http://www.usagain.com/,POINT (-73.858469 40.898179),10466,11275,29,5,40,30
202 Beach 30 St,4158050048.0,4301596,414,Queens,99802,31,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.594966888427734,-73.7625503540039,Far Rockaway-Bayswater,false,202,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,Beach 30 St,,Helpsy,https://www.helpsy.co/,POINT (-73.76255 40.594966),11691,20529,51,3,47,59
24602 S Conduit Ave,4136219904.0,4289465,413,Queens,656,31,"Clothing, Shoes",40.66516876220703,-73.73259735107422,Rosedale,false,24602,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,S Conduit Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.732595 40.665167),11422,24018,63,3,47,63
538 3 Ave,3010320128.0,3023317,306,Brooklyn,117,39,"Clothing, Shoes, Accessories, Bedding and linens, Towels, Coats",40.66903305053711,-73.99351501464844,Park Slope-Gowanus,false,538,Publicly Accessible Donation Bins,info@helpsy.co��,877-382-7417,3 Ave,,Helpsy,https://www.helpsy.co/,POINT (-73.993517 40.669032),11215,17617,14,2,27,50
1240 E Tremont Ave,2039090048.0,2028411,209,Bronx,218,15,"Clothing, Shoes",40.83940124511719,-73.87191009521484,West Farms-Bronx River,false,1240,Publicly Accessible Donation Bins,info@usagain.com,718-810-2527,E Tremont Ave,,Usagain LLC,http://www.usagain.com/,POINT (-73.871907 40.839402),10460,11269,58,5,22,32
